MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1140070008841,12.67,0.05,253.46764,39.76015,56100.22167,0
1140070008841,12.55,0.05,253.46778,39.76023,56100.23108,0
1140070008841,12.71,0.05,253.46758,39.76026,56189.19337,0
1140070008841,12.71,0.05,253.46759,39.76023,56189.198,0
1140070008841,12.68,0.05,253.46752,39.76024,56189.20248,0
1140070008841,12.7,0.05,253.46763,39.76023,56189.20705,0
1140070008841,12.71,0.05,253.46757,39.76018,56195.17329,0
1140070008841,12.68,0.05,253.46762,39.76023,56195.17881,0
1140070008841,12.69,0.05,253.46758,39.76019,56195.18428,0
1140070008841,12.69,0.05,253.4676,39.7602,56195.18982,0
1140070008841,12.7,0.05,253.4676,39.76019,56211.12285,0
1140070008841,12.57,0.05,253.46775,39.76023,56211.13095,0
1140070008841,12.57,0.05,253.46773,39.76022,56211.13913,0
1140070008841,12.69,0.05,253.46762,39.76023,56211.14643,0
1140070008841,12.68,0.05,253.46759,39.76021,56222.07744,0
1140070008841,12.59,0.05,253.46769,39.76018,56222.08247,0
1140070008841,12.71,0.05,253.4676,39.76022,56222.08758,0
1140070008841,12.69,0.05,253.46762,39.76019,56222.09263,0
1140070008841,12.66,0.05,253.46763,39.76019,56375.49536,0
1140070008841,12.65,0.05,253.46759,39.76021,56375.50242,0
1140070008841,12.67,0.05,253.46761,39.76016,56375.50934,0
1140070008841,12.65,0.05,253.46759,39.76018,56375.51566,0
1140070008841,12.63,0.05,253.46761,39.76018,56383.40858,0
1140070008841,12.65,0.05,253.4676,39.76021,56383.41481,0
1140070008841,12.66,0.05,253.4676,39.76018,56383.421,0
1140070008841,12.7,0.05,253.46761,39.76018,56383.42728,0
1140070008841,12.62,0.05,253.46762,39.76021,56396.37672,0
1140070008841,12.67,0.05,253.4676,39.76021,56396.38178,0
1140070008841,12.69,0.05,253.46762,39.7602,56396.38692,0
1140070008841,12.63,0.05,253.4676,39.76019,56396.39206,0
1140070008841,12.69,0.05,253.46763,39.76017,56417.43707,0
1140070008841,12.68,0.05,253.46762,39.7602,56417.44553,0
1140070008841,12.69,0.05,253.4676,39.7602,56417.45179,0
1140070008841,12.68,0.05,253.46761,39.76019,56417.45807,0
1140070008841,12.64,0.05,253.46763,39.76017,56432.39122,0
1140070008841,12.7,0.05,253.46761,39.76019,56432.3969,0
1140070008841,12.65,0.05,253.46764,39.76017,56432.40244,0
1140070008841,12.67,0.05,253.46762,39.76021,56432.40788,0
1140070008841,12.64,0.05,253.46762,39.76019,56448.33511,0
1140070008841,12.69,0.05,253.46761,39.76019,56448.33963,0
1140070008841,12.64,0.05,253.46762,39.76021,56448.34414,0
1140070008841,12.66,0.05,253.46761,39.76019,56448.3487,0
1140070008841,12.67,0.05,253.46765,39.76016,56455.22048,0
1140070008841,12.63,0.05,253.46761,39.76017,56455.22614,0
1140070008841,12.67,0.05,253.46761,39.76018,56455.23183,0
1140070008841,12.66,0.05,253.46763,39.76018,56455.2375,0
1140070008841,12.65,0.05,253.4676,39.7602,56462.33008,0
1140070008841,12.62,0.05,253.46763,39.76019,56462.33518,0
1140070008841,12.65,0.05,253.46759,39.76016,56462.34029,0
1140070008841,12.67,0.05,253.46759,39.76019,56462.34541,0
1140070008841,12.57,0.05,253.46776,39.76021,56471.28617,0
1140070008841,12.54,0.05,253.46773,39.76028,56471.29295,0
1140070008841,12.57,0.05,253.46775,39.76021,56471.29973,0
1140070008841,12.55,0.05,253.46773,39.76022,56471.30646,0
1140070008841,12.65,0.05,253.46764,39.76016,56560.12666,0
1140070008841,12.63,0.05,253.46759,39.76017,56560.13229,0
1140070008841,12.67,0.05,253.4676,39.7602,56560.1379,0
1140070008841,12.69,0.05,253.46763,39.76017,56560.14355,0
1140070008841,12.63,0.05,253.46763,39.76018,56574.12431,0
