# RA = 12 56 11.10 (194.04625)
# Dec = -05 47 21.00 (-5.789167)
# Redshift = 0.0
# nH = 2.24E20 cm^-2 
# NuBlazar (id = 144)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
6.8390E18     0.0000E00    1.2008E-11   1.0916E-12    52671.5    54557.5
# Fermi3FGL (6Gev) (id = 132)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E24     0.0000E00    2.1601E-11   1.0829E-12    54682.65486    56139.94861
# Fermi3FGL (60Gev) (id = 131)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E25     0.0000E00    7.0157E-12   9.3405E-13    54682.65486    56139.94861
# Fermi3FGL (600 Mev) (id = 130)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E23     0.0000E00    5.9268E-11   8.9997E-13    54682.65486    56139.94861
# Fermi3FGL (2Gev) (id = 129)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8400E23     0.0000E00    3.7322E-11   9.2804E-13    54682.65486    56139.94861
# Fermi3FGL (200 Mev) (id = 128)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8400E22     0.0000E00    7.6002E-11   1.1699E-12    54682.65486    56139.94861
# Fermi2FglLC (id = 127)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4200E23     0.0000E00    4.4680E-11   3.3157E-12    54682.7    54713.0
2.4200E23     0.0000E00    3.4098E-11   3.0805E-12    54713.0    54743.4
2.4200E23     0.0000E00    4.5268E-11   3.2569E-12    54743.4    54773.8
2.4200E23     0.0000E00    1.3404E-10   4.7619E-12    54773.8    54804.1
2.4200E23     0.0000E00    1.3874E-10   4.3857E-12    54804.1    54834.5
2.4200E23     0.0000E00    1.0794E-10   4.4327E-12    54834.5    54864.9
2.4200E23     0.0000E00    1.6343E-10   4.7501E-12    54864.9    54895.2
2.4200E23     0.0000E00    3.9271E-11   3.4098E-12    54895.2    54925.6
2.4200E23     0.0000E00    3.0218E-11   2.8924E-12    54925.6    54956.0
2.4200E23     0.0000E00    3.5744E-11   3.0100E-12    54956.0    54986.4
2.4200E23     0.0000E00    5.0088E-11   3.4215E-12    54986.4    55016.7
2.4200E23     0.0000E00    1.0782E-10   4.1152E-12    55016.7    55047.1
2.4200E23     0.0000E00    9.4886E-11   4.5503E-12    55047.1    55077.5
2.4200E23     0.0000E00    8.3010E-11   4.4092E-12    55077.5    55107.8
2.4200E23     0.0000E00    7.4545E-11   5.0323E-12    55107.8    55138.2
2.4200E23     0.0000E00    4.6561E-11   3.8918E-12    55138.2    55168.6
2.4200E23     0.0000E00    4.8207E-11   3.7625E-12    55168.6    55198.9
2.4200E23     0.0000E00    3.1393E-11   3.6684E-12    55198.9    55229.3
2.4200E23     0.0000E00    3.4450E-11   3.3510E-12    55229.3    55259.7
2.4200E23     0.0000E00    4.1035E-11   4.1035E-12    55259.7    55290.1
2.4200E23     0.0000E00    1.9518E-11   2.8924E-12    55290.1    55320.4
2.4200E23     0.0000E00    1.0535E-11   2.5044E-12    55320.4    55350.8
2.4200E23     0.0000E00    1.2111E-11   2.5044E-12    55350.8    55381.2
2.4200E23     0.0000E00    1.4227E-11   2.6690E-12    55381.2    55409.0
# Fermi2FGL (6Gev) (id = 126)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E24     0.0000E00    2.7540E-11   1.7396E-12    54682.65486    55409.05347
# Fermi2FGL (60Gev) (id = 125)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E25     0.0000E00    8.2784E-12   1.3676E-12    54682.65486    55409.05347
# Fermi2FGL (600 Mev) (id = 124)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E23     0.0000E00    7.3900E-11   1.3219E-12    54682.65486    55409.05347
# Fermi2FGL (2Gev) (id = 123)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8400E23     0.0000E00    5.3799E-11   1.7126E-12    54682.65486    55409.05347
# Fermi2FGL (200 Mev) (id = 122)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8400E22     0.0000E00    9.0295E-11   1.6697E-12    54682.65486    55409.05347
# Fermi1FGL (6Gev) (id = 121)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E24     0.0000E00    3.5805E-11   2.8270E-12    54682.65486    55016.61944
# Fermi1FGL (60Gev) (id = 120)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E25     0.0000E00    1.0994E-11   2.0801E-12    54682.65486    55016.61944
# Fermi1FGL (600 Mev) (id = 119)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E23     0.0000E00    8.5895E-11   1.9012E-12    54682.65486    55016.61944
# Fermi1FGL (2Gev) (id = 118)
