# RA = 16 53 52.21 (253.46754)
# Dec = +39 45 37.58 (39.76044)
# Redshift = 0.0
# nH = 1.69E20 cm^-2 
# NuBlazar (id = 124)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.1990E18     6.7700E16    8.2971E-12   3.8829E-13    58227.629305556    58228.143194444
1.3350E18     6.7700E16    7.7062E-12   3.8902E-13    58227.629305556    58228.143194444
1.4700E18     6.7700E16    6.9518E-12   3.8734E-13    58227.629305556    58228.143194444
1.6060E18     6.7700E16    7.1026E-12   4.1211E-13    58227.629305556    58228.143194444
1.7410E18     6.7700E16    6.3363E-12   4.1307E-13    58227.629305556    58228.143194444
1.8760E18     6.7700E16    5.8045E-12   4.1955E-13    58227.629305556    58228.143194444
2.0120E18     6.7700E16    6.1705E-12   4.5556E-13    58227.629305556    58228.143194444
2.1470E18     6.7700E16    5.4229E-12   4.5273E-13    58227.629305556    58228.143194444
2.2830E18     6.7700E16    4.5413E-12   4.3907E-13    58227.629305556    58228.143194444
2.4180E18     6.7700E16    5.1482E-12   5.0355E-13    58227.629305556    58228.143194444
2.5530E18     6.7700E16    4.8687E-12   5.4043E-13    58227.629305556    58228.143194444
2.6910E18     7.0120E16    5.1026E-12   5.8141E-13    58227.629305556    58228.143194444
2.8290E18     6.7700E16    4.0023E-12   5.8223E-13    58227.629305556    58228.143194444
2.9640E18     6.7700E16    3.5877E-12   5.9873E-13    58227.629305556    58228.143194444
3.1140E18     8.2210E16    4.0410E-12   6.1338E-13    58227.629305556    58228.143194444
3.2690E18     7.2540E16    3.9123E-12   6.9286E-13    58227.629305556    58228.143194444
3.4240E18     8.2210E16    3.7447E-12   6.9376E-13    58227.629305556    58228.143194444
3.5930E18     8.7050E16    3.4027E-12   6.9590E-13    58227.629305556    58228.143194444
3.7670E18     8.7050E16    3.8008E-12   7.8503E-13    58227.629305556    58228.143194444
3.9750E18     1.2090E17    2.9110E-12   6.4975E-13    58227.629305556    58228.143194444
4.2070E18     1.1120E17    3.6576E-12   8.1827E-13    58227.629305556    58228.143194444
4.4080E18     8.9470E16    4.1838E-12   1.0262E-12    58227.629305556    58228.143194444
4.6380E18     1.4020E17    2.4115E-12   7.2065E-13    58227.629305556    58228.143194444
4.9790E18     2.0070E17    1.8092E-12   6.1437E-13    58227.629305556    58228.143194444
5.3510E18     1.7170E17    3.0057E-12   1.0169E-12    58227.629305556    58228.143194444
5.7400E18     2.1760E17    2.0072E-12   9.3590E-13    58227.629305556    58228.143194444
# BeppoSAX Spectra (Giommi et al. 2002) (id = 123)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
6.7220E16     1.1240E16    3.3700E-11   3.2835E-12    50993.82034    50994.53376
9.4230E16     1.5760E16    4.1928E-11   7.9109E-12    50993.82034    50994.53376
1.3210E17     2.2090E16    4.8246E-11   5.1276E-12    50993.82034    50994.53376
1.8510E17     3.0970E16    5.0801E-11   3.2483E-12    50993.82034    50994.53376
2.5950E17     4.3410E16    5.2841E-11   2.8549E-12    50993.82034    50994.53376
3.6380E17     6.0840E16    5.8249E-11   3.0456E-12    50993.82034    50994.53376
5.0990E17     8.5290E16    6.0550E-11   2.5350E-12    50993.82034    50994.53376
7.1470E17     1.1950E17    6.5036E-11   2.6924E-12    50993.82034    50994.53376
1.0020E18     1.6760E17    6.5450E-11   3.2793E-12    50993.82034    50994.53376
1.4040E18     2.3490E17    6.5136E-11   4.4513E-12    50993.82034    50994.53376
1.9680E18     3.2920E17    6.3891E-11   6.9405E-12    50993.82034    50994.53376
2.7590E18     4.6150E17    6.5373E-11   1.0850E-11    50993.82034    50994.53376
3.8680E18     6.4690E17    6.4233E-11   1.3491E-11    50993.82034    50994.53376
5.4210E18     9.0680E17    5.5297E-11   1.2045E-11    50993.82034    50994.53376
7.5990E18     1.2710E18    3.4586E-11   1.2541E-11    50993.82034    50994.53376
1.0650E19     1.7820E18    4.3398E-11   1.5387E-11    50993.82034    50994.53376
6.7220E16     1.1240E16    6.1639E-11   4.2668E-12    50549.22369    50549.68478
9.4230E16     1.5760E16    8.5378E-11   1.0908E-11    50549.22369    50549.68478
1.3210E17     2.2090E16    9.9494E-11   7.1031E-12    50549.22369    50549.68478
1.8510E17     3.0970E16    9.8923E-11   4.3607E-12    50549.22369    50549.68478
2.5950E17     4.3410E16    1.0714E-10   3.9095E-12    50549.22369    50549.68478
3.6380E17     6.0840E16    1.1640E-10   3.9978E-12    50549.22369    50549.68478
5.0990E17     8.5290E16    1.2915E-10   3.5591E-12    50549.22369    50549.68478
7.1470E17     1.1950E17    1.3550E-10   3.2815E-12    50549.22369    50549.68478
1.0020E18     1.6760E17    1.4539E-10   3.9173E-12    50549.22369    50549.68478
1.4040E18     2.3490E17    1.5695E-10   5.7825E-12    50549.22369    50549.68478
1.9680E18     3.2920E17    1.6720E-10   9.8455E-12    50549.22369    50549.68478
2.7590E18     4.6150E17    1.7025E-10   1.5124E-11    50549.22369    50549.68478
3.8680E18     6.4690E17    1.7918E-10   1.1935E-11    50549.22369    50549.68478
5.4210E18     9.0680E17    1.6543E-10   1.0885E-11    50549.22369    50549.68478
7.5990E18     1.2710E18    1.7505E-10   1.6033E-11    50549.22369    50549.68478
1.0650E19     1.7820E18    1.9007E-10   2.3400E-11    50549.22369    50549.68478
